candidate,timestep,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
3,8,35.87148,30.54988,-35.96403,85.00474,-19.97977,2.17407
3,9,35.30030,33.87817,-41.00965,85.61067,-18.83406,1.98337
3,10,37.41906,34.30449,-40.77275,87.87020,-18.09956,1.98241
3,11,36.64765,35.32648,-40.94402,87.81290,-19.49818,2.08882
3,12,37.05544,39.20327,-45.05571,88.51157,-18.83997,2.28317
3,13,38.58289,42.13301,-47.99650,89.88735,-18.78040,2.04407
3,14,36.70998,41.43048,-50.50102,90.09557,-20.02082,2.16118
3,15,38.45866,41.17517,-47.16373,89.41782,-18.15979,2.18165
3,16,37.95223,44.56510,-50.43915,89.47208,-20.04914,1.99829
3,17,37.84670,46.07382,-49.74907,90.24068,-20.27503,1.99302
3,18,36.99232,45.33625,-49.26143,89.33262,-19.67809,2.21323
3,19,37.61076,46.44006,-49.98919,91.45624,-18.71975,2.05196
3,20,38.08493,48.39721,-53.72418,90.43150,-19.58150,1.81333
3,21,37.09412,46.09623,-52.80706,90.49833,-20.98931,1.85023
3,22,38.01385,47.47448,-52.76537,89.94415,-18.59702,2.02480
3,23,37.89034,46.35303,-48.47619,89.23569,-20.00433,1.82607
3,24,37.53010,47.56677,-54.40273,89.37736,-19.17835,1.79159
3,25,37.64234,49.18436,-52.98824,87.78194,-18.92328,1.99121
3,26,36.90623,50.40210,-56.86513,86.07932,-17.44345,2.02732
3,27,39.68130,51.32405,-56.64670,82.82253,-15.68397,1.78519
3,28,38.41419,53.43247,-58.16256,84.78582,-16.30483,1.84310
3,29,38.01984,52.02081,-57.53225,83.65324,-15.32351,1.94903
3,30,38.10243,48.45448,-53.62053,80.93469,-12.79894,1.86187
3,31,40.07051,52.00382,-53.39914,79.58785,-13.59129,1.74996
3,32,37.87601,48.94761,-54.06636,80.30387,-13.74348,1.85781
3,33,38.76645,51.87645,-53.92614,78.64735,-15.09411,1.72144
3,34,38.56566,54.15523,-54.30246,79.73936,-14.09900,1.87055
3,35,39.44894,53.67634,-55.73046,79.37788,-14.62858,1.85921
3,36,39.41073,52.50331,-53.46066,78.73831,-13.87202,2.10205
3,37,37.66293,52.36235,-52.65331,80.14710,-14.85863,2.42467
3,38,38.51445,53.92314,-51.33430,76.14019,-16.24911,2.03476
3,39,37.81054,51.61644,-51.71115,75.42239,-15.58349,2.05768
3,40,38.88103,54.14886,-53.47348,76.36166,-15.55662,2.58298
3,41,37.67355,53.02429,-52.75743,74.24440,-17.14223,2.25727
3,42,38.29623,51.88489,-51.65031,73.34392,-16.53878,2.44913
3,43,37.54815,50.95938,-51.49224,73.95042,-16.46576,2.20066
3,44,37.91166,52.65446,-49.09996,73.14087,-14.17763,2.30040
3,45,36.85518,53.65653,-50.07615,74.86073,-16.23162,2.50836
3,46,37.60509,51.93382,-50.45859,73.77518,-14.44389,2.92119
3,47,37.21452,53.49005,-51.67710,74.03342,-16.09084,7.09830
3,48,36.92589,52.87094,-54.22833,71.98862,-17.43616,6.60481
3,49,37.13718,53.73889,-52.78508,74.96029,-14.32967,6.39835
4,0,31.82636,20.89814,-32.83548,88.26364,-21.58147,1.97253
4,1,31.24249,21.57346,-31.09507,88.56813,-20.81855,2.25812
4,2,32.35207,25.99501,-39.99178,90.22535,-24.83416,2.14754
4,3,31.52954,25.21275,-35.10326,88.48027,-22.42010,2.41886
4,4,33.17606,26.96212,-35.41946,88.44899,-22.49804,2.14655
4,5,32.82545,28.47886,-35.79168,88.59200,-22.37442,2.28901
4,6,31.35525,29.97376,-38.95656,90.56445,-23.40701,2.15938
4,7,31.97128,30.11769,-39.29003,87.57288,-22.79437,2.21640
4,8,31.98688,31.32897,-41.97147,87.05806,-21.71935,2.14802
4,9,32.93495,35.57240,-46.05722,88.25661,-21.49949,2.33557
4,10,30.96362,35.24577,-47.21609,86.58807,-23.57304,2.31590
4,11,30.42550,37.39537,-47.39826,85.29298,-23.13116,2.22828
4,12,30.57608,34.83932,-45.41204,84.83875,-22.02309,2.36932
4,13,30.06274,37.56286,-50.81054,84.57869,-22.36092,2.25233
4,14,30.20492,36.90838,-49.47107,85.15785,-25.36197,2.38107
4,15,29.59550,37.02401,-48.47509,83.40168,-23.27975,2.36951
4,16,30.84572,39.04150,-48.49105,84.09628,-22.02762,2.24951
4,17,29.96953,37.41026,-46.80392,83.46748,-19.41330,2.50185
4,18,29.78933,40.32203,-49.50599,84.50612,-22.02081,2.35700
4,19,30.17255,38.72278,-46.49549,81.89571,-23.72873,2.42066
4,20,29.36200,38.31830,-47.30656,82.67936,-22.87009,2.36001
4,21,31.26434,40.28657,-47.00523,80.36109,-24.47108,2.55621
4,22,31.26805,40.73377,-47.47528,79.22768,-22.52517,2.57230
4,23,32.02339,42.60883,-47.95658,80.25282,-23.05759,2.57281
4,24,32.21578,42.31232,-45.85508,78.68591,-22.83223,2.52449
4,25,32.20232,43.76063,-47.87674,79.13387,-22.54469,2.58155
4,26,32.44993,45.93267,-50.19002,77.65001,-23.76001,2.44182
4,27,32.86105,46.92026,-49.76436,78.85060,-23.72865,2.65437
4,28,34.19374,48.37940,-50.90339,76.97296,-23.06235,2.70868
4,29,32.64305,47.94735,-51.77343,77.78572,-23.51998,2.51045
4,30,33.16158,49.97885,-51.66692,77.16190,-23.68229,2.81530
4,31,33.30316,48.73318,-51.64434,75.98142,-21.49652,2.60410
4,32,33.30604,49.38945,-49.70626,77.44656,-21.63913,2.72631
4,33,32.48814,48.74712,-50.66062,76.06718,-22.52900,2.83306
4,34,31.86088,49.61171,-51.94898,75.68710,-22.67463,2.76371
4,35,33.05999,53.74972,-52.87739,75.63226,-22.55297,3.02349
4,36,33.51358,53.31306,-53.53575,75.33185,-19.73148,3.03762
4,37,33.76334,50.86721,-49.33760,72.71111,-20.13369,2.86448
4,38,32.86538,54.36704,-52.83393,74.20362,-19.57067,2.61086
4,39,34.98463,52.37648,-49.12484,73.94205,-20.26413,2.66454
4,40,32.97618,53.72077,-49.78378,75.95774,-20.12599,3.34930
4,41,34.25870,53.08390,-46.36335,74.91463,-20.34542,2.92676
4,42,34.97126,52.28989,-47.60958,75.48666,-19.72896,2.81187
4,43,33.37188,52.49566,-45.84999,74.68424,-21.55089,9.61856
4,44,34.32182,51.55642,-49.08205,76.15549,-22.14003,11.41351
4,45,35.07133,49.60125,-51.70249,77.61189,-21.64214,12.19394
4,46,32.74781,50.17672,-49.58078,77.03436,-24.10264,15.41661
4,47,32.59756,49.57353,-50.62745,78.57552,-23.20343,15.41190
4,48,33.01599,51.39967,-48.63873,77.64164,-23.20296,16.87446
4,49,33.02628,50.82036,-49.33268,77.54760,-22.78643,16.43316
5,0,34.91804,21.99329,-31.62809,90.83945,-17.25545,1.41682
5,1,34.06659,22.00720,-29.77853,89.37345,-17.25610,1.53135
5,2,33.51119,23.70285,-33.90503,90.86359,-18.94654,1.47032
5,3,34.54583,23.50549,-32.73759,89.33495,-17.69573,1.65203
5,4,36.23772,25.70035,-34.33047,89.29602,-16.10904,1.64288
5,5,35.86842,25.98634,-33.91480,88.25681,-14.59764,1.48611
5,6,39.42083,30.80201,-38.33464,86.74965,-11.40813,1.55552
5,7,37.55021,31.90400,-38.52342,87.47406,-13.21736,1.74605
5,8,37.39156,30.97570,-38.30320,86.87514,-12.91356,1.73948
5,9,37.36305,31.79195,-38.30407,88.12347,-12.87396,1.94823
5,10,36.72345,31.73775,-38.46865,87.56349,-11.55700,1.98158
5,11,36.77601,35.60221,-44.53819,88.63301,-14.99289,1.92989
5,12,35.78457,35.54665,-44.63497,88.51437,-15.21965,2.03909
5,13,36.05096,35.68227,-43.34776,87.05507,-12.71465,2.07803
5,14,35.56120,35.95884,-44.84900,86.03423,-13.87336,2.10899
5,15,35.55805,36.86287,-43.54930,86.44627,-12.09234,2.22243
5,16,36.03217,38.84390,-45.42588,87.25046,-13.55168,2.23092
5,17,35.46749,37.42656,-44.56355,86.30402,-13.42411,2.18862
5,18,36.18024,40.90814,-46.50121,85.92104,-16.50120,2.20505
5,19,35.06609,41.44309,-48.18341,85.70158,-15.56519,2.45977
5,20,34.64313,38.63522,-42.04333,84.44052,-16.78422,2.26174
5,21,35.84531,41.17448,-42.39635,85.12892,-15.67017,2.20819
5,22,35.78824,43.35451,-45.23230,85.79498,-15.84660,2.43862
5,23,36.34759,41.72491,-44.95967,83.63632,-14.12136,2.39348
5,24,36.66211,43.65874,-44.96572,83.05869,-13.76537,2.43418
5,25,36.80906,41.69982,-42.94374,81.60263,-13.13052,2.26110
