step,wall_time,tau_rnea_Rotation,tau_rnea_Pitch,tau_rnea_Elbow,tau_rnea_Wrist_Pitch,tau_rnea_Wrist_Roll,tau_rnea_Jaw,load_Rotation,load_Pitch,load_Elbow,load_Wrist_Pitch,load_Wrist_Roll,load_Jaw,current_Rotation,current_Pitch,current_Elbow,current_Wrist_Pitch,current_Wrist_Roll,current_Jaw
101,1785849404.9272,-0.01673,-0.61847,-0.32085,0.00594,0.00007,-0.00030,152.0,132.0,124.0,-44.0,80.0,-360.0,5.0,5.0,5.0,0.0,1.0,5.0
102,1785849405.0462,-0.01007,-0.61821,-0.32265,0.00406,0.00004,0.00008,20.0,152.0,80.0,40.0,0.0,-76.0,0.0,10.0,3.0,1.0,0.0,0.0
103,1785849405.0795,-0.00015,-0.61645,-0.32133,0.00426,-0.00000,0.00009,28.0,76.0,160.0,-104.0,100.0,64.0,0.0,3.0,11.0,4.0,3.0,2.0
104,1785849405.1128,0.01106,-0.61006,-0.31533,0.00535,-0.00006,0.00004,92.0,-88.0,264.0,-120.0,-52.0,116.0,2.0,0.0,14.0,1.0,1.0,1.0
105,1785849405.1463,0.02318,-0.60442,-0.30598,0.00791,-0.00012,-0.00007,24.0,72.0,208.0,-40.0,-88.0,-36.0,0.0,4.0,8.0,1.0,1.0,1.0
106,1785849405.1796,0.02486,-0.60778,-0.30607,0.00772,-0.00015,-0.00000,36.0,128.0,192.0,-120.0,-72.0,-208.0,0.0,8.0,8.0,1.0,1.0,7.0
107,1785849405.2131,0.01234,-0.61115,-0.30749,0.00828,-0.00008,0.00012,24.0,40.0,92.0,44.0,96.0,-92.0,0.0,0.0,3.0,1.0,3.0,0.0
108,1785849405.2464,0.01131,-0.61576,-0.30810,0.00897,-0.00007,0.00012,-56.0,-124.0,128.0,-52.0,-32.0,-40.0,2.0,1.0,3.0,1.0,1.0,0.0
109,1785849405.2798,0.00754,-0.62331,-0.30765,0.01053,-0.00006,0.00008,-148.0,-60.0,-68.0,48.0,60.0,-212.0,5.0,0.0,2.0,1.0,1.0,6.0
110,1785849405.3132,0.00018,-0.62867,-0.30694,0.01283,0.00000,0.00007,64.0,76.0,40.0,116.0,80.0,-244.0,1.0,2.0,1.0,1.0,0.0,2.0
111,1785849405.3465,-0.00819,-0.64054,-0.31420,0.01103,0.00009,0.00023,32.0,44.0,44.0,-112.0,-40.0,-144.0,0.0,1.0,0.0,4.0,1.0,0.0
112,1785849405.3801,-0.01281,-0.64695,-0.31735,0.01178,0.00017,0.00028,-36.0,68.0,36.0,-180.0,-36.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0
113,1785849405.4134,-0.01053,-0.64329,-0.31551,0.01367,0.00016,0.00023,20.0,84.0,-40.0,-88.0,64.0,48.0,0.0,3.0,1.0,0.0,1.0,0.0
114,1785849405.4468,-0.00420,-0.63272,-0.31089,0.01402,0.00011,0.00022,52.0,136.0,-124.0,96.0,56.0,68.0,0.0,8.0,2.0,2.0,0.0,1.0
115,1785849405.4802,0.00502,-0.62137,-0.30738,0.01283,0.00003,0.00024,-40.0,144.0,-80.0,-40.0,-104.0,48.0,1.0,3.0,0.0,1.0,3.0,0.0
116,1785849405.5135,0.00713,-0.61816,-0.30845,0.01215,-0.00000,0.00028,-20.0,116.0,-76.0,-64.0,-60.0,-24.0,0.0,4.0,1.0,1.0,0.0,0.0
117,1785849405.5469,0.00377,-0.61580,-0.30780,0.01326,0.00002,0.00026,20.0,68.0,20.0,60.0,-20.0,52.0,0.0,2.0,1.0,1.0,0.0,1.0
118,1785849405.5803,-0.00156,-0.61495,-0.30656,0.01398,0.00004,0.00023,24.0,20.0,-64.0,24.0,-20.0,88.0,1.0,0.0,1.0,0.0,0.0,2.0
119,1785849405.6137,-0.00772,-0.61363,-0.30509,0.01436,0.00008,0.00019,-28.0,-60.0,-68.0,-32.0,24.0,148.0,0.0,0.0,1.0,1.0,0.0,2.0
120,1785849405.6472,-0.01030,-0.61399,-0.30368,0.01492,0.00011,0.00013,60.0,56.0,28.0,24.0,80.0,-64.0,1.0,1.0,1.0,0.0,2.0,2.0
121,1785849405.6804,-0.00856,-0.61385,-0.30407,0.01485,0.00012,0.00014,40.0,96.0,-104.0,0.0,-20.0,-120.0,0.0,3.0,2.0,0.0,1.0,2.0
122,1785849405.7139,-0.00662,-0.61150,-0.30253,0.01565,0.00011,0.00014,-48.0,84.0,-92.0,88.0,48.0,56.0,1.0,1.0,1.0,3.0,1.0,2.0
123,1785849405.7472,-0.00308,-0.60393,-0.29788,0.01666,0.00009,0.00008,96.0,-56.0,-72.0,144.0,-56.0,28.0,3.0,1.0,0.0,2.0,1.0,0.0
124,1785849405.7806,0.00154,-0.59839,-0.29440,0.01666,0.00005,0.00004,44.0,-56.0,96.0,-68.0,-92.0,-32.0,1.0,1.0,3.0,2.0,1.0,0.0
125,1785849405.8140,0.00678,-0.60172,-0.29436,0.01697,0.00001,0.00002,52.0,-96.0,80.0,68.0,48.0,-40.0,1.0,0.0,0.0,3.0,1.0,1.0
126,1785849405.8474,0.00946,-0.61188,-0.29829,0.01696,-0.00003,0.00004,72.0,28.0,-124.0,44.0,0.0,-20.0,1.0,0.0,6.0,0.0,0.0,0.0
127,1785849405.8808,0.01260,-0.61621,-0.30000,0.01750,-0.00006,0.00005,-40.0,-92.0,-68.0,-140.0,-72.0,-44.0,0.0,2.0,0.0,4.0,1.0,1.0
128,1785849405.9142,0.01253,-0.61919,-0.29824,0.02037,-0.00005,-0.00002,32.0,-164.0,-20.0,-56.0,32.0,36.0,0.0,3.0,0.0,0.0,0.0,0.0
129,1785849405.9476,0.00725,-0.62435,-0.29944,0.02100,-0.00001,-0.00002,-40.0,0.0,-112.0,48.0,-44.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0
