step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
56,1786013958.6254,1786013958.6303,0.03343,26.4615,0.7473,14.2418,83.0769,-18.1538,1.9841,31.1833,5.5723,3.3260,84.1408,-12.8276,1.6995,31.1833,5.5723,3.9780,84.1408,-12.8276,1.6995,1050,1100,-800,250,600,0,0
57,1786013958.6588,1786013958.6639,0.03344,28.5714,3.9121,12.0440,83.3407,-16.5714,1.9841,31.4090,7.5646,0.1463,83.0714,-11.6982,1.5142,31.4090,7.5646,1.6923,83.0714,-11.6982,1.5142,700,1100,-750,50,550,0,0
58,1786013958.6922,1786013958.6973,0.03335,29.7143,5.6703,9.9341,83.3407,-15.2527,1.9841,29.2763,11.5209,-5.2880,85.4371,-9.1757,1.6550,29.2763,11.5209,-0.3297,85.4371,-9.1757,1.6550,500,650,-750,0,450,0,0
59,1786013958.7256,1786013958.731,0.03344,30.2418,6.4615,7.5604,83.3407,-13.8462,1.9841,30.9335,12.6849,-4.9518,84.2886,-9.1768,1.8122,30.9335,12.6849,-2.7912,84.2886,-9.1768,1.8122,200,250,-800,0,450,0,0
60,1786013958.759,1786013958.7638,0.03338,30.2418,7.9560,4.9231,83.3407,-12.4396,1.9841,30.2008,13.2509,-2.3857,81.9539,-9.3965,1.7981,30.2008,13.2509,-2.3857,81.9539,-9.3965,1.7981,0,400,-900,0,450,0,0
61,1786013958.7924,1786013958.7966,0.03337,29.7143,10.3297,2.3736,83.6044,-11.1209,1.9841,31.5065,12.5812,-3.1315,80.8791,-10.3268,1.7314,31.5065,12.5812,-3.1315,80.8791,-10.3268,1.7314,-200,800,-900,100,500,0,0
62,1786013958.8258,1786013958.83,0.0334,29.5385,12.0879,1.1429,83.1648,-10.6813,1.9841,31.5947,13.6641,-1.2316,75.7207,-11.1049,1.8131,31.5947,13.6641,-1.2316,75.7207,-11.1049,1.8131,-100,650,-500,-100,150,0,0
63,1786013958.8592,1786013958.8636,0.03342,29.8901,12.5275,0.7033,82.2857,-10.7692,1.9841,32.3998,11.8292,-1.5026,76.5188,-10.8834,1.6413,32.3998,11.8292,-1.5026,76.5188,-10.8834,1.6413,150,100,-100,-200,0,0,0
64,1786013958.8926,1786013958.8977,0.03338,30.9451,12.9670,0.5275,80.8791,-10.9451,1.9841,32.6927,21.1859,-12.6254,76.1600,-6.1684,1.8755,32.6927,21.1859,-9.5604,76.1600,-6.1684,1.8755,400,100,-100,-400,-100,0,0
65,1786013958.926,1786013958.9309,0.03341,31.5604,13.1429,0.2637,78.6813,-10.9451,1.9841,32.2528,19.0273,-6.7605,77.4645,-8.5365,1.9102,32.2528,19.0273,-6.7605,77.4645,-8.5365,1.9102,250,50,0,-800,0,0,0
66,1786013958.9593,1786013958.9642,0.03333,31.9121,13.4945,-0.5275,78.0659,-10.3297,1.9841,32.8823,21.7481,-13.0562,76.6306,-5.9640,1.6026,32.8823,21.7481,-10.7033,76.6306,-5.9640,1.6026,150,150,-300,-150,100,0,0
67,1786013958.9927,1786013958.9976,0.0334,32.0000,14.2857,-2.2857,77.9780,-9.3626,1.9841,30.5288,22.9220,-10.4435,76.5361,-6.6638,1.6784,30.5288,22.9220,-10.4435,76.5361,-6.6638,1.6784,50,200,-500,-50,350,0,0
68,1786013959.0261,1786013959.0308,0.03341,32.0879,16.2198,-4.8352,77.7143,-8.3077,1.9841,30.6801,23.7835,-12.9259,76.8617,-6.1511,1.6592,30.6801,23.7835,-12.9259,76.8617,-6.1511,1.6592,50,650,-800,-50,350,0,0
69,1786013959.0595,1786013959.0643,0.0334,31.7363,19.1209,-7.1209,77.0110,-7.5165,1.9841,29.5914,22.0413,-9.2697,76.3842,-7.2611,1.7368,29.5914,22.0413,-9.2697,76.3842,-7.2611,1.7368,-100,1050,-800,-250,350,0,0
70,1786013959.0929,1786013959.0977,0.03339,31.3846,21.8462,-8.6154,77.0989,-7.1648,1.9841,30.0865,25.3790,-11.2318,75.3843,-3.6256,1.8300,30.0865,25.3790,-11.2318,75.3843,-3.6256,1.8300,-50,950,-450,-50,100,0,0
71,1786013959.1263,1786013959.131,0.03336,30.9451,22.9890,-9.0549,76.8352,-7.2527,1.9841,29.8730,25.0433,-11.7713,75.8928,-4.9724,1.6465,29.8730,25.0433,-11.7713,75.8928,-4.9724,1.6465,-200,500,-250,-50,-150,0,0
72,1786013959.1597,1786013959.1645,0.03342,30.6813,22.9890,-9.0549,76.3956,-6.9011,1.9841,30.0982,24.7494,-11.1329,75.2698,-4.9437,1.7791,30.0982,24.7494,-11.1329,75.2698,-4.9437,1.7791,-50,0,0,-50,0,0,0
73,1786013959.1931,1786013959.1978,0.03337,30.4176,23.3407,-9.7582,76.2198,-6.1099,1.9841,30.2164,24.2752,-14.4708,76.9110,-3.1122,1.7038,30.2164,24.2752,-14.4708,76.9110,-3.1122,1.7038,-100,-50,-250,-100,250,0,0
74,1786013959.2264,1786013959.2311,0.03338,30.1538,24.3077,-10.1978,75.6044,-5.6703,1.9841,30.1441,24.9017,-10.8268,75.3779,-3.8851,1.8837,30.1441,24.9017,-10.8268,75.3779,-3.8851,1.8837,-100,350,-250,-200,100,0,0
75,1786013959.2599,1786013959.2647,0.03346,30.0659,24.8352,-10.0220,76.1319,-4.8791,1.9841,30.2925,24.8880,-9.4962,75.9987,-6.2149,1.6785,30.2925,24.8880,-9.4962,75.9987,-6.2149,1.6785,-50,200,50,150,350,0,0
76,1786013959.2932,1786013959.298,0.03331,30.3297,25.5385,-9.9341,76.5714,-4.1758,1.9841,30.9655,25.9399,-12.4315,76.8338,-7.1704,1.7959,30.9655,25.9399,-12.4315,76.8338,-7.1704,1.7959,100,250,50,0,400,0,0
77,1786013959.3267,1786013959.3315,0.03345,30.6813,25.6264,-9.6703,75.9560,-5.0549,1.9841,30.4007,25.4268,-11.5207,75.6678,-7.2144,1.7781,30.4007,25.4268,-11.5207,75.6678,-7.2144,1.7781,150,50,0,-350,-400,0,0
78,1786013959.36,1786013959.3649,0.03338,30.7692,25.8022,-9.3187,76.6593,-5.9341,1.9841,31.3803,27.3650,-11.6852,75.2552,-6.3540,1.6205,31.3803,27.3650,-11.6852,75.2552,-6.3540,1.6205,50,0,150,300,-250,0,0
79,1786013959.3934,1786013959.3982,0.03336,30.5934,26.2418,-9.6703,75.9560,-6.4615,1.9841,30.6782,26.7211,-11.3780,75.1581,-6.3165,1.8368,30.6782,26.7211,-11.3780,75.1581,-6.3165,1.8368,-100,150,-150,-350,-200,0,0
80,1786013959.4268,1786013959.4316,0.03337,30.5055,26.7692,-9.7582,75.6923,-6.4615,1.9841,31.2980,26.2360,-9.3245,73.7799,-6.9257,1.9873,31.2980,26.2360,-9.3245,73.7799,-6.9257,1.9873,0,150,-50,-200,0,0,0
81,1786013959.4602,1786013959.465,0.03342,30.5934,27.2967,-9.8462,75.6923,-6.2857,1.9841,31.6021,26.7296,-9.2270,71.8734,-6.5699,1.6782,31.6021,26.7296,-9.2270,71.8734,-6.5699,1.6782,50,200,-50,0,50,0,0
82,1786013959.4935,1786013959.4983,0.03333,30.8571,27.4725,-9.4945,74.6374,-6.7253,1.9841,30.3903,27.2674,-7.9660,72.4109,-6.3494,2.2117,30.3903,27.2674,-7.9660,72.4109,-6.3494,2.2117,100,50,150,-350,-200,0,0
83,1786013959.5269,1786013959.5319,0.03342,31.1209,27.5604,-8.8791,73.7582,-6.7253,1.9841,30.4473,26.6390,-8.8940,72.1973,-5.7855,2.0943,30.4473,26.6390,-8.8940,72.1973,-5.7855,2.0943,100,50,250,-300,0,0,0
84,1786013959.5603,1786013959.5651,0.03341,31.2088,27.5604,-8.3516,72.8791,-6.6374,1.9841,29.6246,25.1987,-8.3867,72.7653,-6.2602,2.0065,29.6246,25.1987,-8.3867,72.7653,-6.2602,2.0065,50,0,150,-300,0,0,0
85,1786013959.5937,1786013959.5985,0.03339,31.0330,27.5604,-8.0879,73.1429,-6.4615,1.9841,29.7181,26.4962,-7.5432,71.0505,-5.7890,2.0501,29.7181,26.4962,-7.5432,71.0505,-5.7890,2.0501,-50,0,50,150,0,0,0
86,1786013959.6271,1786013959.6316,0.03337,30.5934,27.6484,-8.0000,73.1429,-6.5495,1.9841,28.9288,24.2396,-5.7279,71.3021,-6.6890,2.1871,28.9288,24.2396,-5.7279,71.3021,-6.6890,2.1871,-200,50,0,0,0,0,0
87,1786013959.6605,1786013959.6651,0.0334,30.0659,27.6484,-7.4725,72.5275,-6.3736,1.9841,30.1672,24.7556,-6.0431,71.3366,-5.2281,2.2701,30.1672,24.7556,-6.0431,71.3366,-5.2281,2.2701,-150,0,200,-200,50,0,0
88,1786013959.6939,1786013959.6985,0.03338,29.7143,27.6484,-6.6813,71.6484,-6.4615,1.9841,29.3603,23.9743,-5.9251,72.0182,-6.9657,3.1996,29.3603,23.9743,-5.9251,72.0182,-6.9657,3.1996,-150,0,250,-300,50,0,0
89,1786013959.7273,1786013959.7318,0.03337,29.5385,27.6484,-6.0659,72.0000,-6.2857,1.9841,30.8040,25.5999,-5.9511,73.7618,-5.0423,7.5560,30.8040,25.5999,-5.9511,73.7618,-5.0423,7.5560,0,0,250,0,100,0,0
90,1786013959.7607,1786013959.7654,0.03341,29.5385,27.6484,-5.8901,72.0879,-5.7582,2.3810,29.8075,24.4775,-7.0957,73.5964,-5.9866,7.7491,29.8075,24.4775,-7.0957,73.5964,-5.9866,7.7491,0,0,50,0,0,200,0
91,1786013959.7941,1786013959.7987,0.03339,29.8022,27.6484,-5.7143,72.1758,-5.9341,3.3730,28.5044,27.2680,-6.8352,73.0580,-6.2934,13.0146,28.5044,27.2680,-6.8352,73.0580,-6.2934,13.0146,100,0,50,100,-150,500,0
92,1786013959.8274,1786013959.8319,0.03338,29.8901,27.6484,-5.8022,73.1429,-5.6703,5.0926,29.1831,26.3525,-5.4822,72.2617,-7.0970,16.1662,29.1831,26.3525,-5.4822,72.2617,-7.0970,15.2910,0,0,0,350,100,800,0
93,1786013959.8608,1786013959.8654,0.03338,29.7143,27.6484,-5.8022,72.6154,-6.1099,7.0767,28.3349,26.6846,-6.4023,72.1859,-6.4529,20.5442,28.3349,26.6846,-6.4023,72.1859,-6.4529,17.5397,0,0,0,-150,-250,800,0
94,1786013959.8942,1786013959.8989,0.0334,29.2747,27.6484,-5.4505,72.5275,-6.4615,9.7222,28.4739,26.0051,-5.5156,72.1570,-6.1498,21.6158,28.4739,26.0051,-5.5156,72.1570,-6.1498,20.1852,-150,0,150,0,-100,1050,0
