step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
66,1786014293.2456,1786014293.2502,0.03335,34.8132,7.8681,8.2637,73.4945,-19.7363,3.1746,33.6770,7.2380,8.3665,72.9453,-20.2573,6.4340,33.6770,7.2380,8.3665,72.9453,-20.2573,6.4340,0,-50,0,-100,-50,50,0
67,1786014293.279,1786014293.2835,0.03338,34.5495,7.8681,8.2637,73.3187,-19.8242,3.7698,33.5141,6.6854,9.1329,72.9835,-20.5465,10.1443,33.5141,6.6854,9.1329,72.9835,-20.5465,10.1443,-50,0,0,-100,-50,250,0
68,1786014293.3124,1786014293.3169,0.03342,34.2857,7.9560,8.6154,73.2308,-19.9121,4.6296,33.1689,6.3031,9.4137,72.7852,-19.8238,14.1097,33.1689,6.3031,9.4137,72.7852,-19.8238,14.1097,-50,50,100,0,-50,400,0
69,1786014293.3458,1786014293.3506,0.03341,34.0220,7.8681,9.1429,73.2308,-20.0000,6.2831,33.1532,6.2432,9.7209,72.8348,-19.7476,18.2391,33.1532,6.2432,9.7209,72.8348,-19.7476,16.6138,-50,0,200,0,-50,800,0
70,1786014293.3792,1786014293.3838,0.03334,33.8462,7.8681,9.4945,73.2308,-20.0000,8.7963,33.0260,5.9382,9.9180,72.9132,-19.3474,21.6740,33.0260,5.9382,9.9180,72.9132,-19.3474,19.1270,-50,0,100,0,0,1050,0
71,1786014293.4126,1786014293.4173,0.03343,33.4945,7.8681,9.7582,73.1429,-20.0000,11.5079,32.8363,5.8717,10.5342,72.9623,-19.7058,24.2333,32.8363,5.8717,10.5342,72.9623,-19.7058,21.8386,-100,0,50,0,0,1200,0
72,1786014293.446,1786014293.4508,0.03337,33.4066,7.8681,10.0220,73.1429,-19.8242,14.1534,32.7338,5.6569,10.7869,72.7998,-19.7036,25.6477,32.7338,5.6569,10.7869,72.7998,-19.7036,24.4841,-50,0,100,0,100,1200,0
73,1786014293.4793,1786014293.4839,0.03336,33.2308,7.8681,10.3736,72.9670,-19.9121,16.7989,33.0162,5.5871,11.1956,73.1366,-19.3499,26.5648,33.0162,5.5871,11.1956,73.1366,-19.3499,26.5648,-50,0,150,0,0,1200,0
74,1786014293.5128,1786014293.5175,0.03345,33.1429,7.8681,10.9011,73.2308,-19.8242,19.4444,32.9753,5.8184,11.9122,72.9995,-19.6772,27.1245,32.9753,5.8184,11.9122,72.9995,-19.6772,27.1245,0,0,150,100,0,1200,0
75,1786014293.5461,1786014293.5511,0.03336,33.1429,7.8681,11.3407,73.2308,-19.8242,22.0238,33.0253,5.7895,12.3237,73.0034,-19.6544,27.4875,33.0253,5.7895,12.3237,73.0034,-19.6544,27.4875,0,0,100,0,0,1150,0
76,1786014293.5795,1786014293.5843,0.03337,33.1429,7.8681,11.8681,73.2308,-19.9121,23.9418,33.1221,5.4829,12.8126,72.8840,-19.5654,27.7587,33.1221,5.4829,12.8126,72.8840,-19.5654,27.7587,0,0,200,-100,-50,1000,0
77,1786014293.6129,1786014293.6179,0.03343,33.2308,7.8681,12.3077,73.2308,-19.9121,25.1984,33.1870,5.7240,13.0824,73.0760,-19.4502,27.7971,33.1870,5.7240,13.0824,73.0760,-19.4502,27.7971,50,0,200,0,0,550,0
78,1786014293.6463,1786014293.6511,0.03335,33.2308,7.8681,12.8352,73.2308,-19.9121,25.9921,33.2714,5.9315,13.8511,72.8869,-19.8596,28.0349,33.2714,5.9315,13.8511,72.8869,-19.8596,28.0349,0,0,150,0,0,400,0
79,1786014293.6797,1786014293.684,0.0334,33.2308,7.8681,13.1868,73.2308,-19.8242,26.5873,33.1195,5.6843,13.9852,72.8511,-19.5492,28.1213,33.1195,5.6843,13.9852,72.8511,-19.5492,28.1213,0,0,100,0,50,250,0
80,1786014293.7131,1786014293.7176,0.03342,33.2308,7.8681,13.6264,72.9670,-19.9121,27.0503,33.1907,5.6238,14.5585,72.7061,-19.3956,28.2921,33.1907,5.6238,14.5585,72.7061,-19.3956,28.2921,0,0,100,-100,-50,200,0
81,1786014293.7465,1786014293.7509,0.03336,33.2308,7.7802,13.9780,73.2308,-19.8242,27.4471,33.2341,5.5362,15.1856,72.7724,-19.8221,28.3985,33.2341,5.5362,15.1856,72.7724,-19.8221,28.3985,0,-50,150,150,50,150,0
82,1786014293.7799,1786014293.7843,0.03341,33.2308,7.8681,14.5055,72.9670,-19.8242,27.7116,33.1887,5.7376,15.5522,72.6730,-19.5380,28.4944,33.1887,5.7376,15.5522,72.6730,-19.5380,28.4944,0,50,200,-150,0,100,0
83,1786014293.8133,1786014293.8176,0.03339,33.2308,7.8681,15.1209,73.1429,-19.9121,27.9101,33.3475,5.4883,15.7110,72.5302,-19.4771,28.5956,33.3475,5.4883,15.7110,72.5302,-19.4771,28.5956,0,0,200,50,-50,100,0
84,1786014293.8466,1786014293.8512,0.03339,33.2308,7.8681,15.5604,73.1429,-19.8242,28.1085,33.3372,5.6787,16.4731,72.4292,-19.8791,28.6493,33.3372,5.6787,16.4731,72.4292,-19.8791,28.6493,0,0,150,0,50,50,0
85,1786014293.88,1786014293.8846,0.0334,33.2308,7.8681,15.7363,72.8791,-19.8242,28.2407,33.1260,5.5116,16.3835,72.3245,-19.4980,28.6579,33.1260,5.5116,16.3835,72.3245,-19.4980,28.6579,0,0,0,-100,0,50,0
86,1786014293.9135,1786014293.918,0.03344,33.2308,7.8681,16.1758,72.5275,-19.9121,28.3069,33.3605,5.6453,17.6963,72.0224,-20.0753,28.6491,33.3605,5.6453,17.6963,72.0224,-20.0753,28.6491,0,0,150,-150,-50,50,0
87,1786014293.9468,1786014293.9514,0.03336,33.2308,7.7802,16.3516,72.7033,-19.8242,28.3730,33.4542,5.6929,17.7994,71.9065,-19.4023,28.6535,33.4542,5.6929,17.7994,71.9065,-19.4023,28.6535,0,0,50,100,50,0,0
88,1786014293.9802,1786014293.9848,0.03337,33.2308,7.7802,17.0549,72.1758,-19.9121,28.4392,33.5513,5.4043,17.5476,71.5406,-19.6233,28.5721,33.5513,5.4043,17.5476,71.5406,-19.6233,28.5721,0,0,250,-250,0,0,0
89,1786014294.0136,1786014294.0182,0.03344,33.2308,7.7802,17.6703,72.2637,-19.8242,28.4392,33.4740,5.5539,18.1063,71.5018,-19.6178,28.5052,33.4740,5.5539,18.1063,71.5018,-19.6178,28.5052,0,0,150,-50,50,0,0
