step,wall_time,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,qdot_shoulder_pan,qdot_shoulder_lift,qdot_elbow_flex,qdot_wrist_flex,qdot_wrist_roll,qdot_gripper,qddot_shoulder_pan,qddot_shoulder_lift,qddot_elbow_flex,qddot_wrist_flex,qddot_wrist_roll,qddot_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,load_shoulder_pan,load_shoulder_lift,load_elbow_flex,load_wrist_flex,load_wrist_roll,load_gripper,current_shoulder_pan,current_shoulder_lift,current_elbow_flex,current_wrist_flex,current_wrist_roll,current_gripper
64,1785849403.6918,0.03342,26.0220,3.9121,5.3626,95.0330,-6.9011,3.1085,18.4145,92.0723,-73.6578,-2.6306,84.1804,1.9791,-79.855,152.746,161.699,315.582,153.172,59.221,200,1050,-800,-100,900,0,-96,-268,344,276,-228,24,2,0,16,19,0,0
65,1785849403.7252,0.03336,27.0769,7.0769,3.0769,93.0110,-4.9670,3.0423,31.6243,94.8730,-68.5194,-60.6133,57.9780,-1.9826,395.996,83.958,154.036,-1738.161,-785.476,-118.760,350,1050,-800,-600,750,-50,-160,-272,336,312,-124,-32,2,0,16,7,0,0
66,1785849403.7585,0.03339,28.0440,10.3297,0.6154,89.9341,-3.6484,3.0423,28.9627,97.4201,-73.7233,-92.1541,39.4946,0.0000,-79.716,76.285,-155.857,-944.650,-553.577,59.380,350,1050,-800,-1050,500,0,-116,-264,328,180,-160,36,2,0,13,0,0,0
67,1785849403.7919,0.03337,29.0110,13.4066,-1.7582,88.1758,-2.1538,3.0423,28.9757,92.1953,-71.1221,-52.6831,44.7806,0.0000,0.388,-156.551,77.940,1182.691,158.386,0.000,300,1050,-850,-500,550,0,-36,-212,328,136,-80,-20,0,0,13,2,0,0
68,1785849403.8254,0.03342,29.7143,16.0440,-4.0440,87.0330,-1.3626,3.0423,21.0455,78.9205,-68.3977,-34.1989,23.6761,0.0000,-237.304,-397.237,81.524,553.121,-631.530,0.000,300,850,-750,-400,300,0,-68,-176,340,36,-68,-24,1,0,16,0,0,0
69,1785849403.8587,0.03336,30.3297,18.5055,-6.4176,86.8571,-0.9231,3.0423,18.4449,73.7797,-71.1447,-5.2700,13.1750,0.0000,-77.946,-154.084,-82.336,867.086,-314.752,0.000,200,850,-800,-50,200,0,36,-92,332,-56,36,24,2,0,14,1,1,0
70,1785849403.8921,0.03337,30.4176,20.1758,-8.7912,87.2088,-0.9231,3.0423,2.6347,50.0588,-71.1362,10.5387,0.0000,0.0000,-473.824,-710.903,0.257,473.776,-394.845,0.000,0,600,-750,100,0,0,0,24,348,112,-28,-20,0,1,20,3,0,0
71,1785849403.9254,0.03338,30.4176,21.1429,-10.9890,86.5934,-0.9231,3.0423,0.0000,28.9743,-65.8508,-18.4382,0.0000,0.0000,-78.940,-631.734,158.361,-868.209,0.000,0.000,0,300,-800,-150,0,0,-144,-56,344,80,52,0,3,0,20,0,1,0
72,1785849403.9589,0.03344,30.8571,21.9341,-13.4505,85.8022,-1.2747,3.0423,13.1446,23.6604,-73.6100,-23.6604,-10.5157,0.0000,393.079,-158.909,-232.034,-156.164,-314.463,0.000,200,350,-850,-250,-100,0,-76,-28,324,104,116,-24,1,0,12,1,2,0
73,1785849403.9923,0.03337,31.2967,22.4615,-15.8242,85.0989,-2.0659,3.0423,13.1741,15.8089,-71.1403,-21.0786,-23.7134,0.0000,0.883,-235.316,74.022,77.379,-395.550,0.000,150,200,-800,-200,-250,0,20,-40,344,-100,44,20,1,0,16,3,0,0
